busid,latitude,longitude,zip,fips
3005200,32.7996,-98.1268,76067,48363
3005201,31.6611,-96.76,-1,48293
3005202,32.2291,-96.4755,75155,48349
3005203,32.9993,-96.8417,75287,48085
3005204,33.0583,-97.9103,-1,48497
3005205,33.0583,-97.9103,-1,48497
3005206,33.0583,-97.9103,-1,48497
3005207,33.0583,-97.9103,-1,48497
3005208,33.0583,-97.9103,-1,48497
3005209,32.0835,-97.7367,76690,48035
3005210,32.8307,-97.1452,76022,48439
3005211,31.8485,-96.8073,76648,48217
3005212,32.4399,-96.678,-1,48139
3005213,32.8802,-96.6516,75041,48113
3005214,32.7114,-96.8386,75224,48113
3005215,33.3712,-96.9332,76258,48121
3005216,32.724,-97.2694,76105,48439
3005217,32.84,-97.2253,76180,48439
3005218,33.1,-97.3405,76247,48121
3005219,32.4648,-96.4395,75157,48257
3005220,33.3731,-97.2134,76266,48121
3005221,31.1492,-97.6332,76543,48027
3005222,32.4367,-96.0796,-1,48257
3005223,31.6549,-96.4681,76667,48293
3005224,33.0053,-96.8967,75007,48121
3005225,33.0618,-96.3933,75173,48085
3005226,31.6867,-98.7763,76890,48049
3005227,32.7584,-96.3013,75160,48257
3005228,32.6654,-96.7595,75241,48113
3005229,32.7506,-96.7568,75215,48113
3005230,32.8118,-96.8129,75235,48113
3005231,31.6868,-98.187,76531,48193
3005232,32.6922,-97.1333,76015,48439
3005233,32.8603,-97.086,76039,48439
3005234,33.1631,-96.7902,75034,48085
3005235,30.9257,-97.5987,-1,48027
3005236,33.3836,-98.7119,76374,48503
3005237,33.3836,-98.7119,76374,48503
3005238,33.3836,-98.7119,76374,48503
3005239,31.3833,-98.4667,-1,48333
3005240,31.3833,-98.4667,-1,48333
3005241,31.3833,-98.4667,-1,48333
3005242,31.3833,-98.4667,-1,48333
3005243,31.3833,-98.4667,-1,48333
3005244,32.7007,-97.387,76109,48439
3005245,32.9258,-97.0715,76051,48439
3005246,32.2085,-97.7952,76043,48425
3005247,32.1175,-97.5756,-1,48035
3005248,32.853,-97.1304,76021,48439
3005249,32.787,-97.5239,76108,48439
3005250,32.7671,-96.6893,75227,48113
3005251,32.7767,-97.0094,75050,48113
3005252,32.9027,-96.7934,75230,48113
3005253,33.0327,-97.0601,75028,48121
3005254,33.0093,-97.2267,76262,48121
3005255,32.7045,-97.9931,76066,48367
3005256,32.2375,-96.8423,76041,48139
3005257,32.1777,-96.8512,-1,48139
3005258,32.7432,-96.4549,75126,48257
3005259,33.0127,-96.4541,75173,48085
3005260,32.2984,-97.7855,76043,48425
3005261,32.2984,-97.7855,76043,48425
3005262,32.2984,-97.7855,76043,48425
3005263,32.2984,-97.7855,76043,48425
3005264,32.2986,-98.5523,-1,48133
3005265,32.924,-97.2251,76248,48439
3005266,32.5802,-96.9647,75104,48113
3005267,31.4095,-97.5311,76561,48099
3005268,33.3163,-95.789,75448,48119
3005269,32.4693,-96.9907,76065,48139
3005270,31.8162,-97.2433,76622,48217
3005271,30.7893,-97.2916,76523,48331
3005272,32.7925,-96.7728,75204,48113
3005273,32.9634,-96.9847,75019,48113
3005274,32.6052,-96.6743,75172,48113
3005275,31.867,-96.6558,-1,48349
3005276,31.561,-96.8024,-1,48293
3005277,33.1765,-96.9506,75068,48121
3005278,31.0753,-97.2524,76501,48027
3005279,31.0558,-97.3172,76501,48027
3005280,31.0558,-97.3172,76501,48027
3005281,31.0558,-97.3172,76501,48027
3005282,31.0558,-97.3172,76501,48027
3005283,31.0558,-97.3172,76501,48027
3005284,32.9247,-96.1134,75474,48231
3005285,33.3159,-97.8577,76431,48497
3005286,32.0753,-98.3486,76446,48143
3005287,32.5912,-97.0394,75054,48439
3005288,33.4209,-95.9457,75449,48147
3005289,32.9446,-96.8018,75254,48113
3005290,31.9597,-97.3304,76692,48217
3005291,32.9135,-97.4338,-1,48439
3005292,32.8473,-97.4822,76135,48439
3005293,32.4259,-97.5399,76044,48251
3005294,32.8735,-96.7475,75231,48113
3005295,33.1669,-96.6017,75069,48085
3005296,33.1669,-96.6017,75069,48085
3005297,33.1669,-96.6017,75069,48085
3005298,33.1669,-96.6017,75069,48085
3005299,33.1669,-96.6017,75069,48085
3005300,33.1669,-96.6017,75069,48085
3005301,33.1669,-96.6017,75069,48085
3005302,33.1669,-96.6017,75069,48085
3005303,33.1669,-96.6017,75069,48085
3005304,33.0896,-96.6078,75002,48085
3005305,33.0896,-96.6078,75002,48085
3005306,32.6957,-97.6315,76008,48367
3005307,33.0703,-96.9124,75056,48121
3005308,32.8005,-96.5476,75182,48113
3005309,32.8287,-96.746,75214,48113
3005310,32.8684,-97.2521,76148,48439
3005311,32.8483,-96.8255,75209,48113
3005312,32.9002,-97.5612,76020,48367
