busid,res,bus,oth,tot
3005227.0,27900.872766134296,1941.2779196105205,288.4773496408003,30130.62803538562
3005228.0,24924.575099316284,2950.3238679041892,1516.1338534993797,29391.03282071985
3005229.0,13487.510219999474,1596.5176201442125,820.4300680143194,15904.457908158007
3005230.0,20372.46366184263,2411.4900875960716,1239.2340376447517,24023.187787083454
3005231.0,5966.467443091582,528.7543673901534,266.35309687665426,6763.155637903652
3005232.0,18356.475797985608,1844.642325680909,1015.2312323661322,21216.34935603265
3005233.0,36283.15218265036,3646.0941066140363,2006.6917914909523,41935.93808075535
3005234.0,59143.93994300284,4946.71234438278,1452.30808459577,65542.96037198139
3005235.0,7889.807727321094,560.6729129967015,458.3689512076895,8908.897757232542
3005244.0,23925.50067486097,2404.273657626528,1323.2341437663836,27653.00847625388
3005245.0,51046.94570518472,5129.707776198102,2823.224575737397,58999.878057120215
3005246.0,6551.234548335975,443.6957210776545,683.1905705229794,7678.96117274168
3005247.0,803.6172544611493,35.08725586623577,13.375298580862722,852.0798089082477
3005248.0,37109.6895159597,3729.152846513617,2052.4046246473217,42891.24698712064
3005249.0,42127.689503962174,4233.411685192849,2329.9323139433272,48691.03350309835
3005250.0,50674.853487021246,5998.38629744215,3082.4943087957217,59755.73409325912
3005251.0,37792.04047078596,4473.446731728617,2298.8472911680246,44564.3344936826
3005252.0,24801.79394119157,2935.79025279136,1508.665213826969,29246.2494078099
3005253.0,53415.8418514368,3470.441847434563,1376.1987713119347,58262.609221163846
3005254.0,34972.449661810606,2272.169614984391,901.0256243496357,38145.72788761706
3005255.0,2695.7685858736695,206.1335196364955,79.27902809480129,2981.2012500799965
3005256.0,479.4800899028879,37.077095967092156,12.01815020567406,528.5753360756541
3005257.0,3651.425300029685,282.35634621093254,91.52283618167168,4025.304482422289
3005258.0,39438.32452650953,2744.0270141898714,407.76729205010986,42590.11883274951
3005259.0,3818.279033191198,319.35525509438816,93.75969058689923,4231.393978872485
3005264.0,3744.216278181124,409.9726786396638,107.07030951471152,4261.491020252198
3005265.0,38182.35129963226,3836.9446334055174,2111.729723676922,44131.0256567147
3005266.0,41782.428109839064,4945.789222895544,2541.578080521374,49269.79541325598
3005267.0,12434.190357554786,768.9849134948097,717.1024682814302,13920.640553633219
3005268.0,3237.8245870792384,221.02111645410827,144.20280158896088,3604.396194856784
3005269.0,32073.52970611933,2480.1725117679484,803.9218014503201,35357.6240193376
3005270.0,5811.511874567673,465.90615632925983,96.28153101222043,6373.871800783952
3005271.0,2568.5587233075876,183.7364834166288,56.84915947296683,2809.2580645161293
3005272.0,5779.923018720758,684.1699314364024,351.58621257873546,6815.679162735895
3005273.0,35606.53585616611,4214.74838272027,2165.905504999114,41987.189743885494
3005274.0,3643.530867350791,431.2850284731862,221.63188227878862,4296.447778102766
3005275.0,1477.5649350649348,138.4090909090909,29.87012987012987,1645.9090909090908
3005276.0,2793.8008866371124,252.98670044331857,68.88714376187461,3115.808233058898
3005277.0,44189.92916032978,2871.031777795565,1138.5035619947168,48199.56935884094
3005278.0,19633.497972405803,1395.2140382819243,1140.6343709728906,22169.46624026105
3005280.0,36652.55303075086,2604.6380833027915,2129.3791778489767,41386.794048449454
3005284.0,20379.29874455547,1491.5365103766335,964.3850883935436,22835.449141685887
3005285.0,4798.447321823816,398.8409325660322,125.73299395012543,5323.096133982589
3005286.0,10708.029430699899,1002.2990894877219,287.00561022716823,11997.334130414789
3005287.0,68613.61916245252,6894.982861530523,3794.7746564207764,79303.37668040382
3005288.0,4287.123897199847,247.97660145761415,151.91829689298046,4687.14930955121
3005289.0,21413.033976949555,2534.6624756772935,1302.5307588684327,25250.227211495283
3005290.0,7867.972792252708,630.7716547536698,130.35170240565674,8629.329336715085
3005291.0,52960.83881920322,5322.034902810019,2929.0751805128134,61211.948902526055
3005292.0,22794.062903041962,2290.57547145288,1260.6583543789975,26345.29672887384
3005293.0,15180.649940387479,1180.9455737704916,490.43400894187766,16852.1233681073
3005294.0,34120.88384285711,4038.891639855044,2075.534964962944,40235.3104476751
3005296.0,42419.79486168548,3547.929392101823,1041.6386037840964,47009.362857571396
3005305.0,78529.6866956652,6568.107754612268,1928.3344832758357,87026.12893355331
